"","SampleID","Site","Type","Bottle_number","Analyte","dilution","Peak_Concentration","Concentration_Units","Rep","Event_Date","Date","time","Stage","Notes","Lab","missing","Sample_ID_NOTES","cations_now"
"4035","465","SS","ISCO","19.0","TOC",1,7.068,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 12:31:00,"flood",NA,"GEL",NA,NA,NA
"4036","465","SS","ISCO","19.0","TOC",1,6.895,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 12:31:00,"flood",NA,"GEL",NA,NA,NA
"4037","466","SS","ISCO","20.0","TOC",1,7.103,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 13:31:00,"flood",NA,"GEL",NA,NA,NA
"4038","466","SS","ISCO","20.0","TOC",1,6.955,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 13:31:00,"flood",NA,"GEL",NA,NA,NA
"4039","467","CC","ISCO","1.0","TOC",1,8.045,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 03:08:00,"flood",NA,"GEL",NA,NA,NA
"4040","467","CC","ISCO","1.0","TOC",1,8.096,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 03:08:00,"flood",NA,"GEL",NA,NA,NA
"4041","468","CC","ISCO","2.0","TOC",1,6.3,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 03:23:00,"flood",NA,"GEL",NA,NA,NA
"4042","468","CC","ISCO","2.0","TOC",1,6.166,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 03:23:00,"flood",NA,"GEL",NA,NA,NA
"4043","469","CC","ISCO","3.0","TOC",1,5.974,"mg/L","1.0",2021-12-29,2021-12-29,1899-12-31 03:38:00,"flood",NA,"GEL",NA,NA,NA
"4044","469","CC","ISCO","3.0","TOC",1,6.004,"mg/L","2.0",2021-12-29,2021-12-29,1899-12-31 03:38:00,"flood",NA,"GEL",NA,NA,NA
