Sample_ID,Measurement_type,Site_abbreviation,Dilution,Event_date_time,Mean_measurement,n
128,TDP_mg/L,SS,1,2021-08-17T02:16:00Z,0.051000000000000004,2
128,TN_mg/L,SS,1,2020-07-28T00:00:00Z,1.614,1
128,TN_mg/L,SS,1,2021-08-17T02:16:00Z,0.901,2
129,TN_mg/L,SS,1,2020-07-28T00:00:00Z,2.099,1
130,TN_mg/L,SS,1,2020-07-24T00:00:00Z,0.4116,1
131,TN_mg/L,SS,1,2020-07-24T00:00:00Z,0.4131,1
132,DOC_mg/L,SS,1,2021-08-17T03:15:00Z,12.715,2
132,NH4_mg/L,SS,1,2021-08-17T03:15:00Z,0.14400000000000002,2
132,SRP_ug/L,SS,1,2021-08-17T03:15:00Z,525,2
132,SRP_ug/L,SS,10,2021-08-17T03:15:00Z,430.5,2
132,TC_mg/L,SS,1,2021-08-17T03:15:00Z,39.43,2
132,TDP_mg/L,SS,1,2021-08-17T03:15:00Z,0.097,2
132,TN_mg/L,BMW,1,2021-01-17T11:13:00Z,0.2911,1
132,TN_mg/L,SS,1,2021-08-17T03:15:00Z,0.97,2
133,TN_mg/L,BMW,1,2021-01-17T11:13:00Z,0.3466,1
134,TN_mg/L,BMW,1,2021-01-27T00:00:00Z,0.5117,1
135,TN_mg/L,BMW,1,2021-01-27T00:00:00Z,0.7718,1
136,TN_mg/L,BMW,1,2021-03-03T10:20:00Z,0.2845,1
137,DOC_mg/L,SS,1,2021-08-17T04:30:00Z,14.445,2
137,TC_mg/L,SS,1,2021-08-17T04:30:00Z,39.955,2
137,TDP_mg/L,SS,1,2021-08-17T04:30:00Z,0.21800000000000003,2
137,TN_mg/L,BMW,1,2021-04-12T07:45:00Z,0.1773,1
137,TN_mg/L,SS,1,2021-08-17T04:30:00Z,1.353,2
138,NH4_mg/L,SS,1,2020-07-24T00:00:00Z,0.0478,1
138,NO3_mg/L,SS,1,2020-07-24T00:00:00Z,0.00433,1
139,NH4_mg/L,SS,1,2020-07-24T00:00:00Z,0.0358,1
139,NO3_mg/L,SS,1,2020-07-24T00:00:00Z,0.001,1
140,NH4_mg/L,SS,1,2020-07-28T00:00:00Z,0.16,1
140,NO3_mg/L,SS,1,2020-07-28T00:00:00Z,0.21,1
141,DOC_mg/L,MW,1,2021-08-17T09:20:00Z,7.371,2
141,NH4_mg/L,MW,1,2021-08-17T09:20:00Z,0.08635,2
141,NH4_mg/L,SS,1,2020-07-28T00:00:00Z,0.221,1
141,NO3_mg/L,SS,1,2020-07-28T00:00:00Z,0.297,1
141,SRP_ug/L,MW,1,2021-08-17T09:20:00Z,233.5,2
141,TC_mg/L,MW,1,2021-08-17T09:20:00Z,51.519999999999996,2
141,TDP_mg/L,MW,1,2021-08-17T09:20:00Z,0.251,2
141,TN_mg/L,MW,1,2021-08-17T09:20:00Z,1.057,2
142,DOC_mg/L,CC,1,2021-08-13T21:20:00Z,12.1,1
142,NH4_mg/L,BMW,1,2021-01-17T11:13:00Z,0.001,1
142,NH4_mg/L,CC,1,2021-08-13T21:20:00Z,0.0341,1
142,NO3_mg/L,BMW,1,2021-01-17T11:13:00Z,0.001,1
142,SRP_ug/L,CC,1,2021-08-13T21:20:00Z,225,1
142,TC_mg/L,CC,1,2021-08-13T21:20:00Z,34.864999999999995,2
142,TDP_mg/L,CC,1,2021-08-13T21:20:00Z,0.294,1
142,TN_mg/L,CC,1,2021-08-13T21:20:00Z,2.5225,2
143,NH4_mg/L,BMW,1,2021-01-17T11:13:00Z,0.001,1
143,NO3_mg/L,BMW,1,2021-01-17T11:13:00Z,0.0011,1
144,NH4_mg/L,BMW,1,2021-01-27T00:00:00Z,0.0148,1
144,NO3_mg/L,BMW,1,2021-01-27T00:00:00Z,0.0482,1
145,NH4_mg/L,BMW,1,2021-01-27T00:00:00Z,0.0218,1
145,NO3_mg/L,BMW,1,2021-01-27T00:00:00Z,0.0593,1
146,NH4_mg/L,BMW,1,2021-03-03T10:20:00Z,0.0125,1
146,NO3_mg/L,BMW,1,2021-03-03T10:20:00Z,0.017,1
147,NH4_mg/L,BMW,1,2021-04-12T07:45:00Z,0.00328,1
147,NO3_mg/L,BMW,1,2021-04-12T07:45:00Z,0.001,1
148,CL_mg/L,BMW,1,2020-12-28T00:00:00Z,18.3,1
148,DOC_mg/L,BMW,1,2020-12-28T00:00:00Z,2.274,1
148,NH4_mg/L,BMW,1,2020-12-28T00:00:00Z,0.0122,1
148,NO3_mg/L,BMW,1,2020-12-28T00:00:00Z,0.001,1
148,SRP_ug/L,BMW,1,2020-12-28T00:00:00Z,51.3,1
148,TN_mg/L,BMW,1,2020-12-28T00:00:00Z,0.1739,1
152,DOC_mg/L,CC,1,2021-08-14T00:20:00Z,8.374,1
152,NH4_mg/L,CC,1,2021-08-13T00:20:00Z,0.0453,1
152,SRP_ug/L,CC,1,2021-08-13T00:20:00Z,549,1
152,SRP_ug/L,CC,10,2021-08-13T00:20:00Z,441,1
152,TC_mg/L,CC,1,2021-08-13T00:20:00Z,18.705,2
152,TDP_mg/L,CC,1,2021-08-13T00:20:00Z,0.59,1
152,TN_mg/L,CC,1,2021-08-13T00:20:00Z,2.5055,2
163,NH4_mg/L,CC,1,2021-08-14T09:50:00Z,0.0427,2
163,SRP_ug/L,CC,1,2021-08-14T09:50:00Z,196,2
163,TC_mg/L,CC,1,2021-08-14T09:50:00Z,24.6,2
163,TDP_mg/L,CC,1,2021-08-14T09:50:00Z,0.06,2
163,TN_mg/L,CC,1,2021-08-14T09:50:00Z,0.71,2
164,DOC_mg/L,SS,1,2021-08-13T22:45:00Z,9.742,1
164,NH4_mg/L,SS,1,2021-08-13T22:45:00Z,0.214,1
164,SRP_ug/L,SS,1,2021-08-13T22:45:00Z,619,1
164,SRP_ug/L,SS,10,2021-08-13T22:45:00Z,464,1
164,TC_mg/L,SS,1,2021-08-13T22:45:00Z,28.215,2
164,TDP_mg/L,SS,1,2021-08-13T22:45:00Z,0.62,1
164,TN_mg/L,SS,1,2021-08-13T22:45:00Z,2.7925,2
174,DOC_mg/L,SS,1,2021-08-14T01:15:00Z,11.67,1
174,NH4_mg/L,SS,1,2021-08-14T01:15:00Z,0.286,1
174,SRP_ug/L,SS,1,2021-08-14T01:15:00Z,666,1
174,SRP_ug/L,SS,10,2021-08-13T22:45:00Z,490,1
174,TC_mg/L,SS,1,2021-08-14T01:15:00Z,22.810000000000002,2
174,TDP_mg/L,SS,1,2021-08-14T01:15:00Z,0.65,1
174,TN_mg/L,SS,1,2021-08-14T01:15:00Z,2.2560000000000002,2
184,DOC_mg/L,SS,1,2021-08-14T10:12:00Z,9.101,1
184,NH4_mg/L,SS,1,2021-08-14T10:12:00Z,0.116,1
184,SRP_ug/L,SS,1,2021-08-14T10:12:00Z,218,1
184,TC_mg/L,SS,1,2021-08-14T10:12:00Z,32.83,2
184,TDP_mg/L,SS,1,2021-08-14T10:12:00Z,0.306,1
184,TN_mg/L,SS,1,2021-08-14T10:12:00Z,4.151,1
184,TN_mg/L,SS,2.99,2021-08-14T10:12:00Z,13.203840000000001,1
